topic,cluster,x,y
health,6,-1.0998372,4.8934374
cell,2,13.25754,2.8093283
patient,3,7.79159,-3.5424032
patient,3,3.985181,-1.3479348
vaccine,1,10.347821,6.4673
cell,2,13.359577,2.852439
health,6,-1.2363675,3.819244
sample,5,5.235067,2.0614803
cell,2,14.833517,3.5419126
health,6,-2.0140412,4.108776
patient,3,8.28606,-3.1182327
health,6,0.629032,3.7317364
protein,1,9.827557,9.130846
patient,3,8.633336,-3.7913496
health,6,1.2582351,0.56445295
sample,5,6.763152,2.0804212
patient,3,6.2731705,-2.1159425
protein,4,13.328696,13.4725895
protein,4,11.978919,11.3145685
health,6,0.9043365,0.82836986
patient,3,6.6123934,-2.1254907
cell,2,11.893341,3.55266
patient,3,6.590982,-2.7006757
cell,2,14.071426,7.263155
sample,5,3.2445333,3.3546913
protein,4,12.179975,11.594147
health,6,1.2125851,3.6070445
vaccine,1,7.3102217,9.1837
vaccine,1,6.722377,7.5799417
vaccine,1,8.366605,7.940394
patient,3,6.0605783,-2.4238923
vaccine,1,9.035955,7.0986786
sample,5,5.701216,4.1998744
health,6,1.0043609,3.6526887
patient,3,6.505452,-2.653928
health,6,0.20331274,1.3801566
vaccine,1,7.6312757,6.712201
patient,3,6.764558,-2.7944877
protein,4,10.337984,12.979104
cell,2,12.036064,3.7496078
health,6,-1.4017932,4.2712884
protein,4,13.185282,10.359016
drug,0,10.9494915,3.9190106
patient,2,11.662881,1.833066
sample,5,6.686834,2.074855
sample,5,5.380412,3.27706
protein,4,13.266933,12.4259615
sample,5,5.214088,2.089179
patient,3,4.7148976,-1.7508919
health,6,-3.3078437,4.7946415
vaccine,1,8.235174,6.272671
cell,2,14.627581,4.032207
health,6,0.5264588,1.1399454
patient,3,7.0114965,-2.9535785
cell,2,14.725677,3.632688
drug,0,6.2011147,11.1296215
sample,5,4.351626,2.6602418
health,6,0.086621724,1.5194145
protein,4,13.24292,13.397983
protein,4,10.186858,12.973305
health,6,-0.27188623,4.072111
sample,3,6.4312835,0.060278784
cell,2,11.002225,6.044738
sample,5,6.114721,2.64549
vaccine,1,8.9527855,8.28698
vaccine,1,7.9511333,7.56987
vaccine,1,7.262426,9.3761215
protein,4,12.771209,13.020056
sample,5,5.8320055,3.116245
drug,0,5.5212574,11.084476
protein,4,11.876401,11.147982
drug,0,5.4758444,10.931656
cell,2,14.121162,6.841627
protein,4,12.077383,11.452041
sample,1,6.4628487,5.6671166
protein,4,13.164097,9.723545
sample,5,6.9464197,3.2835371
